id,value,type,threat_type,malware,malware_aliases,first_seen,last_seen,confidence_level,reporter,tags,reference,anonymous
1809369,vps.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:58:29+00:00,2026-05-09T03:58:42+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809368,getcfg.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:54:50+00:00,2026-05-09T03:55:56+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809367,dns.webcfgbase.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:53:34+00:00,2026-05-09T03:54:22+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809366,ipnode.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:50:17+00:00,2026-05-09T03:50:50+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809365,nodes.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:48:40+00:00,2026-05-09T03:49:17+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809364,fix.cloudviewtop.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:45:36+00:00,2026-05-09T03:46:56+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809363,dbit.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:44:51+00:00,2026-05-09T03:45:17+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809362,bitfox.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:41:16+00:00,2026-05-09T03:41:50+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809361,logs.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:39:23+00:00,2026-05-09T03:40:10+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809360,top.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:37:02+00:00,2026-05-09T03:37:45+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809359,api.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:35:02+00:00,2026-05-09T03:35:42+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809358,opsmgr.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:31:46+00:00,2026-05-09T03:32:51+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809357,cdnx.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:30:23+00:00,2026-05-09T03:31:07+00:00,100,ttakvam,"['payload_delivery', 'ClearFake']",,True
1809356,cpu.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:27:22+00:00,2026-05-09T03:27:33+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809355,srv.netnodeset.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:26:00+00:00,2026-05-09T03:26:53+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809354,vpsrun.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:22:55+00:00,2026-05-09T03:23:30+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809353,gitlabhubs.sorix2en.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:21:46+00:00,2026-05-09T03:22:12+00:00,100,Gi7w0rm,"['payload_delivery', '9May2026', 'ClearFake', 'Commandline', 'Windows']",,False
1809352,dns.websyncbox.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:18:29+00:00,2026-05-09T03:19:16+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
1809351,apiopsstat.sorix2en.pics,domain,payload_delivery,js.clearfake,['ClearFake'],2026-05-09T03:16:58+00:00,2026-05-09T03:17:26+00:00,100,threatcat_ch,"['payload_delivery', 'ClearFake']",,False
